사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021년 11월 12일 12시,강원도 평창군 대관령면,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,42세,경상
2021년 11월 14일 15시,강원도 강릉시 성산면,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,65세,경상
2021년 11월 18일 15시,강원도 강릉시 성산면,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,57세,상해없음,화물,남,40세,경상
2021년 11월 19일 17시,강원도 원주시 지정면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,남,49세,경상
2021년 11월 27일 13시,강원도 원주시 호저면,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승합,남,62세,상해없음,승용,남,19세,경상
2021년 11월 30일 07시,강원도 평창군 봉평면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 서리/결빙,비,단일로 - 기타,화물,남,52세,상해없음,화물,남,55세,중상
2021년 12월 7일 11시,강원도 평창군 대관령면,중상사고,0,2,4,0,차대차 - 추돌,안전거리미확보,포장 - 젖음/습기,비,단일로 - 기타,화물,남,60세,상해없음,승용,여,58세,중상
2021년 12월 7일 17시,강원도 춘천시 동산면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,승용,남,23세,상해없음,승용,여,49세,경상
2021년 12월 8일 18시,강원도 강릉시 성산면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,64세,상해없음,승용,남,77세,상해없음
2021년 12월 9일 21시,강원도 인제군 인제읍,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,남,27세,경상
2021년 12월 14일 16시,강원도 원주시 호저면,중상사고,0,2,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,여,30세,중상
